"YR","LG","hitting_talent","hitting_lg_eff"
"1",1871,"NA",-0.00385057326306133,0.0739488380578386
"2",1872,"NA",-0.00809290992719472,0.0189127748527299
"3",1873,"NA",0.00301379255933241,0.024548476622017
"4",1874,"NA",-0.00410217012214743,-0.0168025445441846
"5",1875,"NA",-0.0235892082528125,-0.0553463264773863
"6",1876,"NL",-0.00130925412961531,-0.0377300725689544
"7",1877,"NL",0.0227269937905527,-0.0298836398214363
"8",1878,"NL",0.0199564957723554,-0.0559167404456929
"9",1879,"NL",0.0231313650290998,-0.058591392002508
"10",1880,"NL",0.0340005046174293,-0.0886205506270026
"11",1881,"NL",0.0406656805758225,-0.0500843219863095
"12",1882,"NL",0.0279830316554599,-0.0540205815022273
"13",1882,"AA",-0.0349388198062779,-0.0131829944736853
"14",1883,"NL",0.0307231266401671,-0.0248691217100335
"15",1883,"AA",-0.0235398552582608,-0.00647361469945302
"16",1884,"AA",-0.0276133181773038,-0.012223224863191
"17",1884,"UA",-0.0387709631701476,-0.000998926136545401
"18",1884,"NL",0.00500633151431815,-0.0342837699447275
"19",1885,"NL",0.0121754639194659,-0.0653404005959951
"20",1885,"AA",-0.0112599746689753,-0.0230263106390923
"21",1886,"NL",0.0159614164773153,-0.0293682085887486
"22",1886,"AA",0.00281121248695838,-0.0220774039479841
"23",1887,"AA",0.00251878857902355,0.0457711694073019
"24",1887,"NL",0.0201418223704764,0.0250181681515404
"25",1888,"AA",0.00832938562501321,-0.0471894714007368
"26",1888,"NL",0.022577167489669,-0.0731371069899723
"27",1889,"AA",0.00429400453441024,0.0245837560761626
"28",1889,"NL",0.0282193348539388,0.00787691511923861
"29",1890,"NL",0.00660989872500665,0.00571602293021134
"30",1890,"AA",-0.0304946146724886,0.0460559643329637
"31",1890,"PL",0.0264132027526334,0.0424797909595584
"32",1891,"AA",0.00996239149095948,0.0229466069547653
"33",1891,"NL",0.0417751797675529,-0.0313085944069522
"34",1892,"NL",0.0344373778994901,-0.0492910430291709
"35",1893,"NL",0.0340449660419285,0.0435832593194626
"36",1894,"NL",0.0288919349172992,0.126868621159704
"37",1895,"NL",0.0271480874844001,0.0740651598918917
"38",1896,"NL",0.0264436396056362,0.0530647098770699
"39",1897,"NL",0.0221158606481051,0.051180115962855
"40",1898,"NL",0.0298603608076346,-0.0109920845097735
"41",1899,"NL",0.0223552573970437,0.0213207803586879
"42",1900,"NL",0.0397552118425243,-0.0105251904712043
"43",1901,"AL",0.00694594458398987,0.0352836260397225
"44",1901,"NL",0.0154432563240715,-0.0207094615588685
"45",1902,"AL",0.0200964633381732,0.0105668404993229
"46",1902,"NL",0.00452483268374684,-0.0345652679251447
"47",1903,"NL",-0.00311837043750135,0.0102391287884611
"48",1903,"AL",0.0188541847688372,-0.0362062079411589
"49",1904,"NL",-0.00274923967403511,-0.0424637013360383
"50",1904,"AL",0.0124199643353404,-0.0699739714236517
"51",1905,"NL",0.000896260715009825,-0.0274435419994612
"52",1905,"AL",0.0130702880008813,-0.0726922053420103
"53",1906,"NL",0.0069370081874277,-0.0564207504717105
"54",1906,"AL",0.0156568521426622,-0.065060563357096
"55",1907,"NL",0.00286052487603407,-0.0590560241252575
"56",1907,"AL",0.0173554289836794,-0.079194680532264
"57",1908,"NL",0.00720982834835549,-0.081196600320855
"58",1908,"AL",0.0289598339249474,-0.0929929096445304
"59",1909,"NL",0.00629280020052341,-0.0543896595256895
"60",1909,"AL",0.0185569874042249,-0.0795374219718628
"61",1910,"NL",0.00489994515407905,-0.0131272058508533
"62",1910,"AL",0.0145365898093055,-0.0682543012771696
"63",1911,"NL",0.0106572796055236,0.011847593426214
"64",1911,"AL",0.0126309562872001,0.0119172134560095
"65",1912,"NL",0.020267614114659,0.0216025168308779
"66",1912,"AL",0.015402848636825,-0.000211637504363413
"67",1913,"AL",0.0100210003442067,-0.0241389979894856
"68",1913,"NL",0.0142245634840233,-0.0103060313951103
"69",1914,"AL",0.00802899131781041,-0.0409297829839182
"70",1914,"NL",0.0110820922152942,-0.0347078008224899
"71",1914,"FL",-0.0219160608717644,0.0393983330283623
"72",1915,"AL",0.0107340320994093,-0.0357998569940454
"73",1915,"NL",0.00287062166412138,-0.0452588753699618
"74",1915,"FL",-0.0144712782868586,0.00722879032125006
"75",1916,"NL",0.00508406491900995,-0.0548672215453267
"76",1916,"AL",0.0115094405995684,-0.047431830933907
"77",1917,"NL",-0.000793247221102151,-0.0439451980084682
"78",1917,"AL",0.00590067994891095,-0.0544025137787319
"79",1918,"AL",0.0158369315847471,-0.0420071277873153
"80",1918,"NL",0.00562639657391836,-0.0372986458602827
"81",1919,"NL",0.00539191643929283,-0.0306292105753763
"82",1919,"AL",0.0145262131148262,-0.00254667359260814
"83",1920,"AL",0.00328954526848908,0.0453284496310566
"84",1920,"NL",0.00231170173437993,0.00288348382618362
"85",1921,"AL",0.00821428838882684,0.0750263927113361
"86",1921,"NL",-0.00462526191936069,0.0648600024426131
"87",1922,"NL",-0.00420336007922344,0.0796134313977543
"88",1922,"AL",0.00568476541702214,0.0512312872111412
"89",1923,"NL",-0.00397942226458427,0.0609983526513084
"90",1923,"AL",0.00698421506475727,0.0514741553388293
"91",1924,"NL",-1.84059061130067e-05,0.04670518585119
"92",1924,"AL",0.00734957197916392,0.0568890281393104
"93",1925,"NL",-0.00135982079134757,0.0794122598364775
"94",1925,"AL",0.0109309893608247,0.0724740777829245
"95",1926,"NL",0.00265484165656442,0.0420191649216378
"96",1926,"AL",0.0060754436216015,0.0429830539613848
"97",1927,"NL",0.000238847684798808,0.035720955812267
"98",1927,"AL",0.00641490471879235,0.0536913391810708
"99",1928,"NL",0.00422796525969192,0.0472818964427841
"100",1928,"AL",0.00629622971363435,0.0462443314461167
"101",1929,"NL",0.00322839770395831,0.0823699390932228
"102",1929,"AL",0.00694320155207692,0.0595721446432121
"103",1930,"NL",0.0073288752945777,0.108968750013933
"104",1930,"AL",0.00161455419277627,0.0769278339901268
"105",1931,"NL",0.0152538258570575,0.0161710561429524
"106",1931,"AL",-0.001567333496705,0.0451538619923963
"107",1932,"NL",0.0165897644433589,0.0110897112433747
"108",1932,"AL",-0.00264701189983334,0.0532559456524042
"109",1933,"NL",0.0186805192968298,-0.0351717182724162
"110",1933,"AL",0.00599321245271952,0.0233908546181828
"111",1934,"NL",0.0254403901265295,0.0101596297859751
"112",1934,"AL",0.00638557978044429,0.0397895079215006
"113",1935,"NL",0.0229522128846244,0.00531972332655032
"114",1935,"AL",0.00706269551744118,0.0461140058158197
"115",1936,"NL",0.0142310132502478,0.0115661449128338
"116",1936,"AL",0.00677324156403753,0.0766148592748483
"117",1937,"AL",0.0123754738380216,0.0579296573931018
"118",1937,"NL",0.0196057804436232,0.0035043980971995
"119",1938,"AL",0.0124713562446794,0.0556833193373073
"120",1938,"NL",0.0162028472727165,-0.0106046106286768
"121",1939,"AL",0.0177873011253423,0.0451284412810541
"122",1939,"NL",0.0220585124550475,0.0115842448693887
"123",1940,"AL",0.0177492099584372,0.0318467623680185
"124",1940,"NL",0.0189349795082886,-0.0087345756587378
"125",1941,"NL",0.0257241839004032,-0.0219190484515628
"126",1941,"AL",0.0137751014230882,0.0190082849763977
"127",1942,"NL",0.0246030912321225,-0.057857192809753
"128",1942,"AL",0.00601574314728714,-0.0218852134784231
"129",1943,"NL",0.0114805728691008,-0.0328603669612797
"130",1943,"AL",0.00963648994092909,-0.030553588845248
"131",1944,"NL",0.00309490576306564,0.00508317505082222
"132",1944,"AL",-0.00446773805615689,0.00246623247454427
"133",1945,"NL",0.00150883881196992,0.0170915087210336
"134",1945,"AL",-0.00872848560489959,0.00199126796872587
"135",1946,"NL",0.0153014539631452,-0.0195150649605963
"136",1946,"AL",0.019863093601409,-0.0192888305944541
"137",1947,"NL",0.0184672984548558,0.0173676796225207
"138",1947,"AL",0.0132816629611636,-0.0127311847207061
"139",1948,"NL",0.015122282728479,0.00741166375910537
"140",1948,"AL",0.0162775747694285,0.0248871017869161
"141",1949,"NL",0.0252827479832993,0.0141373107050732
"142",1949,"AL",0.0167034032857674,0.0294507851338987
"143",1950,"NL",0.0142232770333139,0.0333091776680375
"144",1950,"AL",0.0198555187957223,0.055883674011493
"145",1951,"NL",0.0112240122100124,0.0159039788488185
"146",1951,"AL",0.0195401097970189,0.0171087503440678
"147",1952,"NL",0.00828485874593327,-0.00455960687773237
"148",1952,"AL",0.0114840041176709,0.00211258695676868
"149",1953,"AL",0.00870402385262615,0.0288998381615328
"150",1953,"NL",0.00203052738278214,0.0463145720511329
"151",1954,"NL",0.00317410118725464,0.034403586447575
"152",1954,"AL",0.014843835290976,0.0125938236614735
"153",1955,"NL",0.0124983092345034,0.0281442205053908
"154",1955,"AL",0.00772423676496672,0.0247359548108352
"155",1956,"NL",0.0151319512389867,0.00659021316733091
"156",1956,"AL",0.0127471574115537,0.0400127176226136
"157",1957,"NL",0.00925351382529269,0.0152062024728485
"158",1957,"AL",0.000981102130109265,0.0191340485523033
"159",1958,"NL",0.0206571951613002,0.020831744018326
"160",1958,"AL",0.00697705861497959,0.0146734261318794
"161",1959,"NL",0.0187558384680852,0.0152815934134146
"162",1959,"AL",0.0114053692557274,0.0138877953039382
"163",1960,"NL",0.0130230427738207,0.00204857163428807
"164",1960,"AL",0.00508949638461306,0.0237839286731095
"165",1961,"NL",0.00575511065570657,0.0243867126452201
"166",1961,"AL",0.00290083378428353,0.0417359524625239
"167",1962,"NL",0.00727648471850975,0.0240751314396344
"168",1962,"AL",-0.0092559801205762,0.0403877645091867
"169",1963,"NL",0.00264267330127479,-0.0318131090720362
"170",1963,"AL",-0.00248945375153344,0.0122444750063723
"171",1964,"NL",0.00344935881945233,-0.0133147822629104
"172",1964,"AL",-0.00502154150230444,0.0128313010556286
"173",1965,"NL",0.00640864484179819,-0.0155175200759465
"174",1965,"AL",0.00193753002643551,-0.00362030278986326
"175",1966,"NL",0.00221461435728832,0.00161625842761568
"176",1966,"AL",0.005711284047658,-0.0141630178381415
"177",1967,"NL",0.00273899168664364,-0.0210853781124085
"178",1967,"AL",0.00895479813752413,-0.0333803530714399
"179",1968,"NL",-0.00128409174659113,-0.0492461150756002
"180",1968,"AL",0.00560026389100948,-0.0516594524196801
"181",1969,"NL",-0.00563065717296841,0.00571736461112359
"182",1969,"AL",-0.00788274763856536,0.013412789123565
"183",1970,"NL",-0.00182057836754181,0.0373801778539192
"184",1970,"AL",-0.00549623307239325,0.0234615411647372
"185",1971,"NL",-0.00165569260935019,0.000413975727200191
"186",1971,"AL",0.00550830765355023,0.0011916459595737
"187",1972,"NL",-0.00352859775587928,-0.00402380267049181
"188",1972,"AL",0.00685785888997439,-0.0306943530042851
"189",1973,"NL",-0.00124882750042201,0.0141974871599401
"190",1973,"AL",0.0674119706974674,0.00100020421166173
"191",1974,"NL",-0.000148752341813951,0.00768879819592414
"192",1974,"AL",0.0690700206626494,-0.0146800520216439
"193",1975,"AL",0.0662646681118897,-0.00683232738583959
"194",1975,"NL",0.000123582894690041,0.0144549152696308
"195",1976,"AL",0.0668737607992002,-0.0308951445705377
"196",1976,"NL",0,0
"197",1977,"AL",0.0560071145831549,0.0339157772297061
"198",1977,"NL",-0.000137305448611624,0.0432309754346325
"199",1978,"AL",0.0597916060458699,0.0064360426008325
"200",1978,"NL",-0.00569484033136309,0.00725468737469571
"201",1979,"AL",0.0565360530416465,0.0425904083582089
"202",1979,"NL",-0.000154086148698055,0.0282701602574689
"203",1980,"AL",0.0509281010202387,0.03544082600453
"204",1980,"NL",-0.00194026480467337,0.0127537013506934
"205",1981,"AL",0.0603846499817355,-0.00998035345722984
"206",1981,"NL",0.0122378483135966,0.00143651746626967
"207",1982,"AL",0.0597695954724606,0.0272899762641235
"208",1982,"NL",0.00276419537195377,0.00331618119885453
"209",1983,"AL",0.0576718807307004,0.0254553566834705
"210",1983,"NL",0.00196765050034623,0.00994179125285744
"211",1984,"NL",0.00165335957700088,0.00389179356775382
"212",1984,"AL",0.0648143043082804,0.0154254032146191
"213",1985,"NL",0.00628060387409505,0.00513333129817817
"214",1985,"AL",0.0634980118169874,0.0217611499770479
"215",1986,"NL",0.00597666198207033,0.0112905537598083
"216",1986,"AL",0.0629554484037612,0.0275223281685424
"217",1987,"NL",0.0068076775512338,0.0400121693930611
"218",1987,"AL",0.0648230327368564,0.0493878514819599
"219",1988,"NL",0.00544259036421819,-0.0201288534609952
"220",1988,"AL",0.0632466224200925,0.00679524145685734
"221",1989,"NL",0.00281903695876323,-0.0108545719135274
"222",1989,"AL",0.0693334560301291,0.00058377439997097
"223",1990,"NL",0.00151391322986025,0.0116919322826431
"224",1990,"AL",0.0742814920206903,-0.000561487331955116
"225",1991,"NL",-0.00130577960285004,-0.000957131891954543
"226",1991,"AL",0.0725288525350526,0.00486864391625216
"227",1992,"NL",0.00091112971449735,-0.00255877879828808
"228",1992,"AL",0.0723340872677322,-0.00522464521229371
"229",1993,"AL",0.0638171735743912,0.0340665955960344
"230",1993,"NL",-0.00669036759126348,0.0440152597873562
"231",1994,"NL",-0.000441984610186387,0.0640212305929238
"232",1994,"AL",0.0705793500749735,0.0640645118876026
"233",1995,"NL",-0.00761051680742202,0.0623416009668821
"234",1995,"AL",0.0633463636166084,0.0604371016848211
