level,playerid,year,teamName,LeagueName,lastname,firstname,G,AB,R,H,Dbl,Tpl,HR,RBI,SB,CS,BB,IBB,SO,SH,SF,HBP,GDP,Bavg,Slg,obp,OPS,Age,HT,WT,Bats,Throws,posit,borndate,place,colleges,draft_Year,draft_Round,draft_overall,draft_teamabbr,status,teamname,CurrentTeam,X,check
2,ATaylo1268,2016,Corvallis Knights,West Coast League,Taylor,Adam,9,27,3,9,2,0,0,3,2,0,2,0,4,2,0,2,1,0.333,0.407,0.419,0.826,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,APerez1287,2011,Derby Twins,Jayhawk League,Perez,Andrew,0,84,0,23,5,0,2,11,0,0,0,0,0,0,0,0,0,0.274,0.405,0,0.405,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,APerez1287,2018,Lake Norman Copperheads,Southern Collegiate League,Perez,Andrew,11,35,6,9,0,0,0,3,0,0,3,0,13,0,0,1,1,0.257,0.257,0.333,0.59,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,BEberl1297,2011,Clarinda As,MINK League,Eberly,Bryce,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,BEberl1297,2013,Clarinda As,MINK League,Eberly,Bryce,4,3,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0.333,0.333,0.5,0.833,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,BEberl1297,2014,Clarinda As,MINK League,Eberly,Bryce,12,23,5,6,1,0,0,4,0,0,2,0,12,1,0,1,0,0.261,0.304,0.346,0.65,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,BEberl1297,2015,Clarinda As,MINK League,Eberly,Bryce,11,34,3,4,0,0,0,1,0,0,3,0,20,2,0,0,0,0.118,0.118,0.189,0.307,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,BEberl1297,2016,Clarinda As,MINK League,Eberly,Bryce,4,15,3,3,0,0,0,1,0,0,3,0,5,0,0,0,1,0.2,0.2,0.333,0.533,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,CRobin1356,2011,Rome Generals,New York Collegiate,Robinson,Chris,27,87,14,25,5,0,1,16,2,1,8,0,21,3,4,6,2,0.287,0.379,0.371,0.75,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,CRobin1356,2019,Haysville Aviators,Sunflower Collegiate League,Robinson,Chris,27,96,16,27,2,0,0,10,2,2,3,0,23,5,0,4,0,0.281,0.302,0.33,0.632,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,HBrown1447,2011,Mystic Schooners,New England Collegiate League,Brown,Hunter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,HBrown1447,2017,St. Clair Green Giants,Great Lakes Collegiate League,Brown,Hunter,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JScott1467,2011,Xenia Scouts,Great Lakes Collegiate League,Scott,James,5,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JScott1467,2012,Woodstock Bandits,Valley League,Scott,James,5,17,1,2,0,0,0,0,0,0,1,0,10,0,0,0,0,0.118,0.118,0.167,0.285,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JScott1467,2014,Lake Erie Monarchs,Great Lakes Collegiate League,Scott,James,4,12,0,3,0,0,0,0,0,1,1,0,2,1,0,0,0,0.25,0.25,0.308,0.558,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JScott1467,2015,Lake Erie Monarchs,Great Lakes Collegiate League,Scott,James,5,11,0,2,0,0,0,2,0,0,2,0,2,0,0,0,1,0.182,0.182,0.308,0.49,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JScott1467,2017,Irish Hills Leprechauns,Great Lakes Collegiate League,Scott,James,39,123,23,29,4,0,0,16,4,0,25,0,37,3,2,4,2,0.236,0.268,0.377,0.645,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JJohns1513,2011,Morganton Aggies,Southern Collegiate League,Johnson,Justin,21,57,6,17,2,1,0,4,4,0,2,0,4,0,0,1,0,0.298,0.368,0.333,0.701,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JJohns1513,2012,Morganton Aggies,Southern Collegiate League,Johnson,Justin,20,48,10,9,2,0,0,4,0,1,4,0,9,2,1,4,0,0.188,0.229,0.298,0.527,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,JJohns1513,2019,Alpharetta Aviators,Sun Belt League,Johnson,Justin,15,36,7,4,1,0,0,5,5,0,3,0,20,1,1,1,0,0.111,0.139,0.195,0.334,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,LVarga1573,2011,Alexandria Aces,Texas Collegiate League,Vargas,Luis,7,20,1,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0.1,0.1,0.308,0.408,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,LVarga1573,2018,Victoria Generals,Texas Collegiate League,Vargas,Luis,40,147,26,46,7,3,3,22,8,3,19,0,24,1,1,4,4,0.313,0.463,0.404,0.867,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,MThomp1581,2011,Xenia Scouts,Great Lakes Collegiate League,Thompson,Matt,37,127,17,37,9,1,2,25,2,4,18,0,18,1,1,3,3,0.291,0.425,0.389,0.814,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,MThomp1581,2019,Inland Valley Pirates,Southern California League,Thompson,Matt,15,31,4,5,1,0,0,1,0,0,4,0,13,0,0,1,0,0.161,0.194,0.278,0.472,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,MWilli1594,2011,St. Cloud River Bats,Northwoods League,Williams,Michael,12,45,5,11,1,0,0,3,0,0,4,0,11,0,0,1,2,0.244,0.267,0.32,0.587,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,MWilli1594,2018,Victoria Generals,Texas Collegiate League,Williams,Michael,48,180,33,62,6,8,1,29,22,6,27,0,31,1,4,4,1,0.344,0.483,0.433,0.916,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,RWilli1668,2011,Green Bay Bullfrogs,Northwoods League,Williams,Robert,7,15,2,3,1,0,0,2,0,0,4,0,6,0,0,0,1,0.2,0.267,0.368,0.635,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,RWilli1668,2017,Baltimore Dodgers,Cal Ripken League,Williams,Robert,6,17,1,2,1,0,0,0,0,0,5,0,4,0,0,0,0,0.118,0.176,0.318,0.494,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JAnder1769,2012,Adirondack,New York Collegiate,Anderson,James,18,55,15,21,3,0,2,15,2,1,7,0,8,2,1,0,0,0.382,0.545,0.444,0.989,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,JAnder1769,2018,Corvallis Knights,West Coast League,Anderson,James,4,5,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0.4,0.6,0.5,1.1,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,JAnder1769,2019,Corvallis Knights,West Coast League,Anderson,James,4,6,0,3,1,0,0,1,0,0,1,0,2,0,0,0,0,0.5,0.667,0.571,1.238,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,ZSmith1902,2012,Columbia Blowfish,Coastal Plain League,Smith,Zack,15,54,3,9,1,0,0,6,0,0,2,0,11,0,1,2,1,0.167,0.185,0.22,0.405,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,ZSmith1902,2013,Columbia Blowfish,Coastal Plain League,Smith,Zack,24,59,2,8,2,0,0,2,0,0,1,0,12,0,1,0,0,0.136,0.169,0.148,0.317,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,ZSmith1902,2017,Pittsfield Suns,Futures League,Smith,Zack,31,119,20,36,9,2,2,18,3,0,10,0,14,0,0,3,5,0.303,0.462,0.371,0.833,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
3,ZSmith1902,2019,Peninsula Pilots,Coastal Plain League,Smith,Zack,10,21,4,3,0,0,0,3,0,0,5,0,6,0,1,0,0,0.143,0.143,0.296,0.439,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,RColli1959,2012,Gastonia Grizzlies,Coastal Plain League,Collins,Ryan,6,16,4,0,0,0,0,0,0,1,1,0,8,0,0,2,0,0,0,0.158,0.158,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,RColli1959,2017,North Shore Navigators,Futures League,Collins,Ryan,11,35,1,5,1,0,0,2,1,1,2,0,9,0,1,0,3,0.143,0.171,0.184,0.355,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,RColli1959,2018,Texarkana Twins,Texas Collegiate League,Collins,Ryan,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,AMoore2006,2012,Hyannis Harbor Hawks,Cape Cod League,Moore,Adam,4,12,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0.077,0.077,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,AMoore2006,2013,Gastonia Grizzlies,Coastal Plain League,Moore,Adam,4,5,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0.2,0.2,0.333,0.533,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,AMoore2006,2019,Olean Oilers,New York Collegiate,Moore,Adam,24,48,4,10,1,0,0,7,0,2,10,0,16,1,2,3,0,0.208,0.229,0.365,0.594,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JHerna2240,2012,Orlando Monarchs,Florida Collegiate League,Hernandez,Jose,11,26,2,6,1,0,0,0,2,0,1,0,5,1,0,0,0,0.231,0.269,0.259,0.528,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,JHerna2240,2019,Front Royal Cardinals,Valley League,Hernandez,Jose,25,88,11,24,4,0,1,4,1,2,3,0,36,5,0,3,1,0.273,0.352,0.319,0.671,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
 ,RPriet2252,2012,Ozark Generals,MINK League,Prieto,Robert,42,149,29,55,5,1,2,23,20,3,11,0,8,0,2,3,4,0.369,0.456,0.418,0.874,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
 ,RPriet2252,2013,Ozark Generals,MINK League,Prieto,Robert,44,150,26,58,8,0,3,19,7,2,18,0,12,2,1,5,6,0.387,0.5,0.466,0.966,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
 ,RPriet2252,2014,Sedalia Bombers,MINK League,Prieto,Robert,37,98,17,21,2,1,0,13,5,1,27,0,20,3,4,0,2,0.214,0.255,0.372,0.627,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
 ,RPriet2252,2014,Ozark Generals,MINK League,Prieto,Robert,35,118,12,31,6,0,1,13,3,5,4,0,8,2,0,0,5,0.263,0.339,0.287,0.626,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
 ,RPriet2252,2015,Ozark Generals,MINK League,Prieto,Robert,19,70,12,30,2,0,2,12,3,0,5,0,4,1,1,0,4,0.429,0.543,0.461,1.004,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
 ,RPriet2252,2017,Ozark Generals,MINK League,Prieto,Robert,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,RJones2305,2012,Rockbridge Rapids,Valley League,Jones,Ryan,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,RJones2305,2013,Gastonia Grizzlies,Coastal Plain League,Jones,Ryan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,RJones2305,2017,Haysville Aviators,Jayhawk League,Jones,Ryan,24,70,7,11,1,1,0,1,2,1,2,0,20,1,0,0,0,0.157,0.2,0.181,0.381,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,RJones2305,2018,Lake Norman Copperheads,Southern Collegiate League,Jones,Ryan,17,48,4,8,2,0,0,1,0,0,6,0,25,0,0,1,0,0.167,0.208,0.273,0.481,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,BHamil2328,2012,Sherrill Silversmiths,New York Collegiate,Hamilton,Brian,2,5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0.167,0.167,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,BHamil2328,2019,Texarkana Twins,Texas Collegiate League,Hamilton,Brian,10,31,1,3,0,0,0,4,2,0,0,0,15,0,0,1,0,0.097,0.097,0,0.097,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JBaker2355,2012,St. Josephs Mustangs,MINK League,Baker,Josh,8,14,3,4,0,0,0,4,0,0,3,0,3,0,0,0,0,0.286,0.286,0.412,0.698,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JBaker2355,2013,Ozark Generals,MINK League,Baker,Josh,30,75,12,17,0,0,0,11,2,0,8,0,20,3,1,1,3,0.227,0.227,0.306,0.533,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JBaker2355,2014,Ozark Generals,MINK League,Baker,Josh,2,4,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0.2,0.2,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,JBaker2355,2019,High Point-Thomasville HiToms,Coastal Plain League,Baker,Josh,35,113,20,28,6,1,6,25,0,1,23,0,38,1,3,1,3,0.248,0.478,0.371,0.849,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,AFlore2403,2012,Trenton Generals,Atlantic Collegiate,Flores,Anthony,22,39,12,11,1,0,1,5,6,2,10,0,10,0,0,1,0,0.282,0.385,0,0.385,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,AFlore2403,2018,Brazos Valley Bombers,Texas Collegiate League,Flores,Anthony,3,13,1,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0.308,0.385,0.308,0.693,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,LAllen2454,2012,Willmar Stingers,Northwoods League,Allen,Logan,15,48,12,9,1,0,0,2,5,1,7,0,7,1,1,3,2,0.188,0.208,0.322,0.53,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,LAllen2454,2018,New Bedford Bay Sox,New England Collegiate League,Allen,Logan,12,41,4,10,3,1,0,8,3,0,5,0,10,0,1,1,1,0.244,0.366,0.333,0.699,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,CAmato2544,2013,Trenton Generals,Atlantic Collegiate,Amato,Chris,19,31,7,4,0,0,0,2,2,0,5,0,9,0,0,2,1,0.129,0.129,0.289,0.418,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,CAmato2544,2014,Staten Island Tide,Atlantic Collegiate,Amato,Chris,16,36,3,8,0,0,0,1,3,3,1,0,8,0,0,1,0,0.222,0.222,0.263,0.485,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,CAmato2544,2019,North Fork Ospreys,Hamptons League,Amato,Chris,2,4,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0.2,0.2,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JKelly2561,2013,Bakersfield Sound,California Collegiate League,Kelly,Justin,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0,0.5,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,JKelly2561,2016,Irish Hills Leprechauns,Great Lakes Collegiate League,Kelly,Justin,27,90,17,26,6,0,2,21,3,2,12,0,19,0,4,4,4,0.289,0.422,0.382,0.804,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
3,JKelly2561,2018,Alexandria Aces,Cal Ripken League,Kelly,Justin,31,109,17,25,7,0,3,16,4,1,15,0,34,0,0,0,2,0.229,0.376,0.323,0.699,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
 ,JRamir2587,2013,SLO Blues,California Collegiate League,Ramirez,Josh,6,16,5,4,1,0,0,2,1,0,5,0,4,0,0,0,0,0.25,0.313,0,0.313,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
 ,JRamir2587,2015,SLO Blues,California Collegiate League,Ramirez,Josh,8,21,4,6,0,0,0,5,1,2,2,0,5,3,1,1,0,0.286,0.286,0.36,0.646,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
 ,JRamir2587,2016,SLO Blues,California Collegiate League,Ramirez,Josh,22,64,5,16,1,0,0,9,0,0,2,0,15,2,2,1,2,0.25,0.266,0.275,0.541,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
 ,JRamir2587,2016,SLO Blues,California Collegiate League,Ramirez,Josh,1,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0.2,0.2,0.2,0.4,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
 ,JRamir2587,2018,SLO Blues,California Collegiate League,Ramirez,Josh,7,15,3,4,3,0,0,7,0,0,4,0,2,1,1,1,1,0.267,0.467,0.429,0.896,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,TBrown2592,2013,Alexandria Aces,Cal Ripken League,Brown,Tyler,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
