"playerID","yearID","teamID","lgID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","IBB","SO","SH","SF","HBP","GIDP"
"175013",2014,"Valley Blue Sox","New England Collegiate League",21,77,3,17,3,0,0,4,0,0,4,0,11,3,0,0,2
"175013",2014,"Yarmouth-Dennis Red Sox ","Cape Cod League",3,5,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0
"175013",2014,"Brewster Whitecaps","Cape Cod League",6,13,2,4,2,0,0,1,0,0,1,0,3,0,0,1,2
"168097",2014,"Edenton Steamers","Coastal Plain League",15,54,8,14,4,0,0,3,3,0,8,0,15,0,1,1,1
"175774",2014,"Lexington Hustlers","Great Lakes Collegiate League",23,66,8,17,3,0,0,11,3,0,15,0,21,5,1,2,1
"192886",2014,"Anchorage Bucs","Alaska Summer League",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"168507",2014,"Bellingham Bells","West Coast League",50,205,31,60,7,0,4,33,0,1,23,0,31,2,3,0,7
"185079",2014,"St. Cloud Rox","Northwoods League",51,174,28,43,9,0,0,16,2,2,15,0,18,7,1,10,3
"164903",2014,"Madison Mallards","Northwoods League",2,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"204423",2014,"Duluth Huskies","Northwoods League",3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"193894",2014,"Mystic Schooners","New England Collegiate League",28,74,13,17,2,0,0,5,10,2,14,0,30,2,0,1,1
"165530",2014,"Cotuit Kettleers","Cape Cod League",33,94,11,28,5,0,1,15,1,0,6,0,25,2,1,2,2
"180534",2014,"Eau Claire Express","Northwoods League",45,175,25,49,10,2,5,23,7,2,13,0,35,5,1,7,3
"202312",2014,"Southern Ohio Copperheads","Great Lakes Collegiate League",1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"169845",2014,"La Crosse Loggers","Northwoods League",1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"173014",2014,"Laconia Muskrats","New England Collegiate League",30,94,11,28,5,0,3,14,2,1,7,0,11,2,0,0,1
"194811",2014,"Kelowna Falcons","West Coast League",2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"180835",2014,"Yakima Valley Pippins","West Coast League",13,44,7,12,0,0,2,10,4,0,6,0,7,1,0,3,1
"173758",2014,"Lima Locos","Great Lakes Collegiate League",17,59,11,17,3,0,0,2,6,0,2,0,15,2,0,2,0
"187301",2014,"Eau Claire Express","Northwoods League",67,254,44,77,16,0,5,25,8,5,25,0,42,0,0,16,5
"187627",2014,"Alexandria Blue Anchors","Northwoods League",29,100,8,21,4,0,0,9,0,1,4,0,27,1,1,0,0
"173333",2014,"Harwich Mariners","Cape Cod League",33,99,20,32,3,0,1,10,0,2,14,0,13,2,1,2,0
"183837",2014,"Peninsula Oilers","Alaska Summer League",44,135,20,35,8,0,1,18,1,5,24,0,32,4,1,3,3
"173078",2014,"Thunder Bay Border Cats","Northwoods League",7,21,2,7,1,1,0,2,2,0,3,0,6,0,0,0,0
"210341",2014,"North Adams SteepleCats","New England Collegiate League",14,31,2,2,0,0,0,2,0,1,5,0,14,0,0,1,0
"175791",2014,"Menlo Park Legends","California Collegiate League",30,97,14,28,3,2,2,14,1,0,12,0,22,2,1,3,2
"201786",2014,"Gaithersburg Giants","Cal Ripken League",30,83,5,14,2,0,0,3,3,1,14,0,26,3,0,0,2
"188539",2014,"Sanford Mainers","New England Collegiate League",36,101,11,19,5,1,0,5,4,1,5,0,31,2,1,3,6
"180736",2014,"Gastonia Grizzlies","Coastal Plain League",26,87,18,21,5,1,1,11,5,1,10,0,27,1,0,1,1
